Strategy,Frequency,GDX_SLV,GLD_GDX,GLD_SLV
Correlations Strat Vol Overlay Backtest,Month,-0.13090448035576507,-0.10586288514193129,-0.028196209835362796
Correlations Strat Vol Overlay Backtest,Quarter,0.21829565608701698,-0.07376712225558202,-0.07897791911914416
Correlations Strat Vol Overlay Backtest,Year,-0.11542752830163833,0.0,-0.02420926720588268
Correlations Strat Skew Overlay Backtest,Month,0.24804182694116453,0.1319925782921783,0.14567569893018475
Correlations Strat Skew Overlay Backtest,Quarter,-0.03433940040890552,0.2177368522827014,0.012144766211151384
Correlations Strat Skew Overlay Backtest,Year,-0.11542752830163833,0.2565901606608585,0.02420926720588268
Correlations Strat Kurt Overlay Backtest,Month,-0.272398121002995,-0.1674407371927796,-0.13457459193323312
Correlations Strat Kurt Overlay Backtest,Quarter,-0.11460419276368743,0.03239887935921021,-0.09983194714743189
Correlations Strat Kurt Overlay Backtest,Year,-0.11542752830163833,-0.2565901606608586,-0.02420926720588268
Differentials Vol Strat Vol Overlay Backtest,Month,-0.029625811778576778,-0.11200189904370987,-0.15870920373648012
Differentials Vol Strat Vol Overlay Backtest,Quarter,-0.040179203662731144,-0.08022157530543556,0.04104810984009061
Differentials Vol Strat Vol Overlay Backtest,Year,,-0.04650244944658932,-0.10375929507166048
Differentials Vol Strat Skew Overlay Backtest,Month,0.3746454715757091,0.34110397906392587,0.27874936789819554
Differentials Vol Strat Skew Overlay Backtest,Quarter,-0.13229861801840126,0.3983215664281863,-0.2209362139741265
Differentials Vol Strat Skew Overlay Backtest,Year,,0.04650244944658932,0.18341639006828847
Differentials Vol Strat Kurt Overlay Backtest,Month,-0.16455383182670844,-0.1791530514314931,-0.21784814165910157
Differentials Vol Strat Kurt Overlay Backtest,Quarter,-0.13762578119135788,0.2726291440034452,0.2070999489055652
Differentials Vol Strat Kurt Overlay Backtest,Year,,0.0,0.10375929507166048
Differentials Skew Strat Vol Overlay Backtest,Month,-0.024783976673617647,-0.12613152998049437,-0.0255264356052682
Differentials Skew Strat Vol Overlay Backtest,Quarter,-0.22530366230715138,0.00793745970674492,-0.0066155425268386026
Differentials Skew Strat Vol Overlay Backtest,Year,0.0228065332150873,-0.23232584106550763,0.5319639463401409
Differentials Skew Strat Skew Overlay Backtest,Month,0.11887235164207298,0.04497239312266804,0.06453690494262072
Differentials Skew Strat Skew Overlay Backtest,Quarter,-0.04509123915465518,0.1093595259263076,-0.07689379686017916
Differentials Skew Strat Skew Overlay Backtest,Year,-0.0228065332150873,0.0,-0.5319639463401409
Differentials Skew Strat Kurt Overlay Backtest,Month,-0.10413938036935477,-0.16381748333526022,-0.07871375757407865
Differentials Skew Strat Kurt Overlay Backtest,Quarter,0.027710014563346652,0.16311616444645421,-0.0455138460930404
Differentials Skew Strat Kurt Overlay Backtest,Year,-0.0228065332150873,-0.23232584106550763,0.0
Differentials Kurt Strat Vol Overlay Backtest,Month,-0.09314516750784835,-0.15585852538585182,-0.14255086036495138
Differentials Kurt Strat Vol Overlay Backtest,Quarter,0.16981435603815412,0.01606673396601105,0.08021402131793032
Differentials Kurt Strat Vol Overlay Backtest,Year,-0.07723727275105868,-0.24836959956960397,0.20301618277478672
Differentials Kurt Strat Skew Overlay Backtest,Month,0.1391817034129365,0.09913412139163662,0.19219019101203605
Differentials Kurt Strat Skew Overlay Backtest,Quarter,-0.05831748305698895,0.03925200024459341,-0.1766647229109137
Differentials Kurt Strat Skew Overlay Backtest,Year,-0.10004380596614598,0.15769443879722422,0.20301618277478672
Differentials Kurt Strat Kurt Overlay Backtest,Month,-0.1962769904754267,-0.1302219893553945,-0.18990346724901697
Differentials Kurt Strat Kurt Overlay Backtest,Quarter,-0.08174034673496806,0.18263966921490982,-0.009496208905282836
Differentials Kurt Strat Kurt Overlay Backtest,Year,-0.10004380596614598,-0.3209717953884712,0.0
