,Date,GLD,GDX,SLV
0,2006-12-29,63.21,39.91,12.86
61,2007-03-30,65.74,39.57,13.35
124,2007-06-29,64.27,37.89,12.35
187,2007-09-28,73.51,45.35,13.66
251,2007-12-31,82.46,45.83,14.7
312,2008-03-31,90.41,47.7,17.08
376,2008-06-30,91.4,48.52,17.26
440,2008-09-30,85.07,33.79,11.85
504,2008-12-31,86.52,33.88,11.2
565,2009-03-31,90.28,36.88,12.79
628,2009-06-30,91.18,37.82,13.38
691,2009-09-30,98.85,45.29,16.38
755,2009-12-31,107.31,46.21,16.54
816,2010-03-31,108.95,44.41,17.14
879,2010-06-30,121.68,51.96,18.21
943,2010-09-30,127.91,55.93,21.31
1007,2010-12-31,138.72,61.47,30.18
1069,2011-03-31,139.82,60.06,36.79
1132,2011-06-30,145.98,54.59,33.85
1196,2011-09-30,158.08,55.19,28.93
1259,2011-12-30,151.99,51.43,26.94
1321,2012-03-30,162.14,49.57,31.37
1384,2012-06-29,155.19,44.77,26.65
1447,2012-09-28,172.02,53.71,33.48
1509,2012-12-31,162.02,46.39,29.37
1569,2013-03-28,154.47,37.85,27.43
1633,2013-06-28,119.11,24.49,18.97
1697,2013-09-30,128.18,25.02,20.9
1761,2013-12-31,116.12,21.13,18.71
1822,2014-03-31,123.61,23.6,19.04
1885,2014-06-30,128.04,26.45,20.25
1949,2014-09-30,116.21,21.36,16.35
2013,2014-12-31,113.58,18.38,15.06
2074,2015-03-31,113.66,18.24,15.93
2137,2015-06-30,112.37,17.76,15.03
2201,2015-09-30,106.86,13.74,13.87
2265,2015-12-31,101.46,13.72,13.19
2326,2016-03-31,117.64,19.97,14.68
2390,2016-06-30,126.47,27.71,17.86
2454,2016-09-30,125.64,26.43,18.2
2517,2016-12-30,109.61,20.92,15.11
